Exchange;Time;Side;Price;Size;Instrument
Deribit;1596788064;Buy;Market;-150;BTC-PERPETUAL
Deribit;1596788066;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788161;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788162;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788163;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788164;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788165;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788182;Sell;Market;600;BTC-PERPETUAL
Deribit;1596788183;Sell;Market;600;BTC-PERPETUAL
Deribit;1596788184;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788185;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788185;Buy;Market;-600;BTC-PERPETUAL
Deribit;1596788186;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788186;Buy;Market;-600;BTC-PERPETUAL
Deribit;1596788187;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788187;Buy;Market;-150;BTC-PERPETUAL
Deribit;1596788188;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788188;Buy;Market;-150;BTC-PERPETUAL
Deribit;1596788208;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788209;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788211;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788211;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788212;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788212;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788213;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788213;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788214;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788214;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788217;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788217;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788221;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788221;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788224;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788224;Buy;Market;-1650;BTC-PERPETUAL
Deribit;1596788232;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788232;Buy;Market;-1500;BTC-PERPETUAL
Deribit;1596788237;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788237;Buy;Market;-1350;BTC-PERPETUAL
Deribit;1596788244;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788244;Buy;Market;-1200;BTC-PERPETUAL
Deribit;1596788245;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788247;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788248;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788250;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788250;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788251;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788253;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788253;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788254;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788256;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788256;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788257;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788259;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788260;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788260;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788262;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788263;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788264;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788265;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788266;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788267;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788268;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788269;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788272;Sell;Market;-4500;BTC-PERPETUAL
Deribit;1596788273;Sell;Market;-4500;BTC-PERPETUAL
Deribit;1596788274;Sell;Market;-4500;BTC-PERPETUAL
Deribit;1596788276;Sell;Market;-4500;BTC-PERPETUAL
Deribit;1596788285;Sell;Market;-4500;BTC-PERPETUAL
Deribit;1596788285;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788285;Buy;Market;-4500;BTC-PERPETUAL
Deribit;1596788286;Sell;Market;-4500;BTC-PERPETUAL
Deribit;1596788286;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788286;Buy;Market;-4500;BTC-PERPETUAL
Deribit;1596788287;Sell;Market;-4350;BTC-PERPETUAL
Deribit;1596788287;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788287;Buy;Market;-4350;BTC-PERPETUAL
Deribit;1596788289;Sell;Market;-4050;BTC-PERPETUAL
Deribit;1596788289;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788289;Buy;Market;-4050;BTC-PERPETUAL
Deribit;1596788290;Sell;Market;-4050;BTC-PERPETUAL
Deribit;1596788290;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788290;Buy;Market;-4050;BTC-PERPETUAL
Deribit;1596788291;Sell;Market;-4050;BTC-PERPETUAL
Deribit;1596788291;Buy;Market;-4050;BTC-PERPETUAL
Deribit;1596788291;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788292;Sell;Market;-4050;BTC-PERPETUAL
Deribit;1596788292;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788292;Buy;Market;-4050;BTC-PERPETUAL
Deribit;1596788293;Sell;Market;-3600;BTC-PERPETUAL
Deribit;1596788293;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788293;Buy;Market;-3600;BTC-PERPETUAL
Deribit;1596788294;Sell;Market;-3450;BTC-PERPETUAL
Deribit;1596788294;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788294;Buy;Market;-3450;BTC-PERPETUAL
Deribit;1596788295;Sell;Market;-3300;BTC-PERPETUAL
Deribit;1596788295;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788295;Buy;Market;-3300;BTC-PERPETUAL
Deribit;1596788296;Sell;Market;-3150;BTC-PERPETUAL
Deribit;1596788296;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788296;Buy;Market;-3150;BTC-PERPETUAL
Deribit;1596788297;Sell;Market;-3000;BTC-PERPETUAL
Deribit;1596788297;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788297;Buy;Market;-3000;BTC-PERPETUAL
Deribit;1596788298;Sell;Market;-2850;BTC-PERPETUAL
